檔名,名稱
427,凱基人壽招財進保利率變動型終身壽險(定期給付)_APLYPL
428,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
429,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
430,凱基人壽大基大利美元利率變動型終身壽險(定期給付)_APMLPL
431,南山人壽佳多保利率變動型終身保險(定期給付)_BTPL
432,南山人壽樂活洋溢醫療終身保險_TPHI5
433,凱基人壽全民小額終身壽險_EHJIPL
434,南山人壽新福愛小額終身壽險_MPL3
435,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
436,凱基人壽澳氣十足澳幣利率變動型養老保險(定期給付)_APMKPL
437,凱基人壽美年鑽美元利率變動型終身保險(定期給付)_BPJAPL
438,凱基人壽天天開鑫利率變動型終身保險(定期給付)_APKTPL
439,南山人壽樂活洋溢醫療終身保險_TPHI5
440,南山人壽樂活洋溢醫療終身保險_TPHI5
441,南山人壽享添鑽利率變動型終身保險(定期給付)_STL6
442,南山人壽新福愛小額終身壽險_MPL3
443,113 年 1月 29 日
444,113 年 1月 29 日
445,南山人壽豐盈保倍美元利率變動型終身壽險(定期給付)_BYUPL7
446,凱基人壽全民小額終身壽險_EHJIPL
447,凱基人壽享利開鑫利率變動型終身保險(定期給付)_BPLTPL
448,凱基人壽龍保倍美元利率變動型終身壽險(定期給付)_APMPPL
449,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
450,安達人壽超美得美元利率變動型終身壽險
451,南山人壽享添鑽利率變動型終身保險(定期給付)_STL6
452,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
453,凱基人壽基業長鴻美元利率變動型終身壽險(定期給付)_APMOPL
454,凱基人壽享利開鑫利率變動型終身保險(定期給付)_BPLTPL
455,南山人壽享添鑽利率變動型終身保險(定期給付)_STL6
456,凱基人壽鑫安利得利率變動型終身壽險(定期給付)_APWHPL
457,南山人壽樂活洋溢醫療終身保險_TPHI5
458,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
459,凱基人壽好基利美元利率變動型終身壽險(定期給付)_APMEPL
460,113 年 1月 29 日
461,凱基人壽大基大利美元利率變動型終身壽險(定期給付)_APMLPL
462,全球人壽代代緻富利率變動型終身壽險(定額給付)
463,凱基人壽招財進保利率變動型終身壽險(定期給付)_APLYPL
464,凱基人壽好基利美元利率變動型終身壽險(定期給付)_APMEPL
465,凱基人壽龍保倍美元利率變動型終身壽險(定期給付)_APMPPL
466,凱基人壽天天有利利率變動型終身壽險(定期給付)_APKQTL
467,全球人壽金采福旺利率變動型終身壽險(定額給付)
468,凱基人壽基業長鴻美元利率變動型終身壽險(定期給付)_APMOPL
469,全球人壽金采福旺利率變動型終身壽險(定額給付)
470,凱基人壽澳氣十足澳幣利率變動型養老保險(定期給付)_APMKPL
471,凱基人壽澳氣十足澳幣利率變動型養老保險(定期給付)_APMKPL
472,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
473,凱基人壽享利開鑫利率變動型終身保險(定期給付)_BPLTPL
474,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
475,南山人壽享添鑽利率變動型終身保險(定期給付)_STL6
476,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
477,安達人壽超美得美元利率變動型終身壽險
478,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
479,凱基人壽美年鑽美元利率變動型終身保險(定期給付)_BPJAPL
480,凱基人壽龍保倍美元利率變動型終身壽險(定期給付)_APMPPL
481,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
482,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
483,南山人壽佳多保利率變動型終身保險(定期給付)_BTPL
484,南山人壽樂活洋溢醫療終身保險_TPHI5
485,凱基人壽大基大利美元利率變動型終身壽險(定期給付)_APMLPL
486,南山人壽樂活洋溢醫療終身保險_TPHI5
487,凱基人壽好基利美元利率變動型終身壽險(定期給付)_APMEPL
488,全球人壽金采福旺利率變動型終身壽險(定額給付)
489,安達人壽超美得美元利率變動型終身壽險
490,全球人壽豪威六六利率變動型終身壽險(定額給付)
491,南山人壽豐盈保倍美元利率變動型終身壽險(定期給付)_BYUPL7
492,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
493,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
494,凱基人壽天天有利利率變動型終身壽險(定期給付)_APKQTL
495,安達人壽美美優美元利率變動型終身壽險
496,凱基人壽大基大利美元利率變動型終身壽險(定期給付)_APMLPL
497,凱基人壽大基大利美元利率變動型終身壽險(定期給付)_APMLPL
498,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
499,安達人壽超美得美元利率變動型終身壽險
500,凱基人壽美年鑽美元利率變動型終身保險(定期給付)_BPJAPL
501,113 年 1月 29 日
502,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
503,凱基人壽澳氣十足澳幣利率變動型養老保險(定期給付)_APMKPL
504,安達人壽美美優美元利率變動型終身壽險
505,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
506,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
507,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
508,安達人壽美美優美元利率變動型終身壽險
509,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
510,凱基人壽十全十美美元利率變動型養老保險(定期給付)_APMIPL
511,凱基人壽美年鑽美元利率變動型終身保險(定期給付)_BPJAPL
512,全球人壽豪威六六利率變動型終身壽險(定額給付)
513,凱基人壽龍保倍美元利率變動型終身壽險(定期給付)_APMPPL
514,凱基人壽招財進保利率變動型終身壽險(定期給付)_APLYPL
515,安達人壽美美優美元利率變動型終身壽險
516,凱基人壽十全十美美元利率變動型養老保險(定期給付)_APMIPL
517,凱基人壽金旺來利率變動型終身壽險(定期給付)_APMTPL
518,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
519,凱基人壽招財進保利率變動型終身壽險(定期給付)_APLYPL
520,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
521,凱基人壽金旺來利率變動型終身壽險(定期給付)_APMTPL
522,凱基人壽澳氣十足澳幣利率變動型養老保險(定期給付)_APMKPL
523,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
524,南山人壽豐盈保倍美元利率變動型終身壽險(定期給付)_BYUPL7
525,凱基人壽全民小額終身壽險_EHJIPL
526,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
527,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
528,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
529,凱基人壽十全十美美元利率變動型養老保險(定期給付)_APMIPL
530,凱基人壽全民小額終身壽險_EHJIPL
531,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
532,南山人壽享添鑽利率變動型終身保險(定期給付)_STL6
533,凱基人壽好基利美元利率變動型終身壽險(定期給付)_APMEPL
534,凱基人壽十全十美美元利率變動型養老保險(定期給付)_APMIPL
535,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
536,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
537,南山人壽樂活洋溢醫療終身保險_TPHI5
538,全球人壽金采福旺利率變動型終身壽險(定額給付)
539,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
540,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
541,113 年 1月 29 日
542,凱基人壽天天開鑫利率變動型終身保險(定期給付)_APKTPL
543,凱基人壽基業長鴻美元利率變動型終身壽險(定期給付)_APMOPL
544,南山人壽豐盈保倍美元利率變動型終身壽險(定期給付)_BYUPL7
545,凱基人壽美年鑽美元利率變動型終身保險(定期給付)_BPJAPL
546,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
547,安達人壽美美優美元利率變動型終身壽險
548,凱基人壽享利開鑫利率變動型終身保險(定期給付)_BPLTPL
549,凱基人壽金旺來利率變動型終身壽險(定期給付)_APMTPL
550,全球人壽豪威六六利率變動型終身壽險(定額給付)
551,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
552,凱基人壽大基大利美元利率變動型終身壽險(定期給付)_APMLPL
553,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
554,凱基人壽金旺來利率變動型終身壽險(定期給付)_APMTPL
555,南山人壽新福愛小額終身壽險_MPL3
556,凱基人壽基業長鴻美元利率變動型終身壽險(定期給付)_APMOPL
557,凱基人壽美年鑽美元利率變動型終身保險(定期給付)_BPJAPL
558,安達人壽美美優美元利率變動型終身壽險
559,凱基人壽美年鑽美元利率變動型終身保險(定期給付)_BPJAPL
560,全球人壽豪威六六利率變動型終身壽險(定額給付)
561,凱基人壽鑫安利得利率變動型終身壽險(定期給付)_APWHPL
562,凱基人壽好基利美元利率變動型終身壽險(定期給付)_APMEPL
563,凱基人壽享利開鑫利率變動型終身保險(定期給付)_BPLTPL
564,凱基人壽大基大利美元利率變動型終身壽險(定期給付)_APMLPL
565,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
566,安達人壽超美得美元利率變動型終身壽險
567,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
568,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
569,南山人壽新福愛小額終身壽險_MPL3
570,凱基人壽龍保倍美元利率變動型終身壽險(定期給付)_APMPPL
571,凱基人壽龍保倍美元利率變動型終身壽險(定期給付)_APMPPL
572,凱基人壽天天有利利率變動型終身壽險(定期給付)_APKQTL
573,凱基人壽鑫安利得利率變動型終身壽險(定期給付)_APWHPL
574,凱基人壽天天有利利率變動型終身壽險(定期給付)_APKQTL
575,凱基人壽天天有利利率變動型終身壽險(定期給付)_APKQTL
576,全球人壽代代緻富利率變動型終身壽險(定額給付)
577,凱基人壽好基利美元利率變動型終身壽險(定期給付)_APMEPL
578,南山人壽新福愛小額終身壽險_MPL3
579,凱基人壽龍保倍美元利率變動型終身壽險(定期給付)_APMPPL
580,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
581,安達人壽超美得美元利率變動型終身壽險
582,凱基人壽鑫安利得利率變動型終身壽險(定期給付)_APWHPL
583,安達人壽超美得美元利率變動型終身壽險
584,凱基人壽好基利美元利率變動型終身壽險(定期給付)_APMEPL
585,凱基人壽基業長鴻美元利率變動型終身壽險(定期給付)_APMOPL
586,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
587,凱基人壽龍保倍美元利率變動型終身壽險(定期給付)_APMPPL
588,凱基人壽天天開鑫利率變動型終身保險(定期給付)_APKTPL
589,凱基人壽鑫安利得利率變動型終身壽險(定期給付)_APWHPL
590,凱基人壽龍保倍美元利率變動型終身壽險(定期給付)_APMPPL
591,南山人壽樂活洋溢醫療終身保險_TPHI5
592,南山人壽豐盈保倍美元利率變動型終身壽險(定期給付)_BYUPL7
593,南山人壽豐盈保倍美元利率變動型終身壽險(定期給付)_BYUPL7
594,凱基人壽十全十美美元利率變動型養老保險(定期給付)_APMIPL
595,安達人壽美美優美元利率變動型終身壽險
596,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
597,凱基人壽金旺來利率變動型終身壽險(定期給付)_APMTPL
598,凱基人壽天天開鑫利率變動型終身保險(定期給付)_APKTPL
599,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
600,全球人壽代代緻富利率變動型終身壽險(定額給付)
601,凱基人壽基業長鴻美元利率變動型終身壽險(定期給付)_APMOPL
602,凱基人壽招財進保利率變動型終身壽險(定期給付)_APLYPL
603,安達人壽超美得美元利率變動型終身壽險
604,凱基人壽天天有利利率變動型終身壽險(定期給付)_APKQTL
605,南山人壽新福愛小額終身壽險_MPL3
606,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
607,凱基人壽好基利美元利率變動型終身壽險(定期給付)_APMEPL
608,南山人壽享添鑽利率變動型終身保險(定期給付)_STL6
609,凱基人壽享利開鑫利率變動型終身保險(定期給付)_BPLTPL
610,凱基人壽金旺來利率變動型終身壽險(定期給付)_APMTPL
611,凱基人壽享利開鑫利率變動型終身保險(定期給付)_BPLTPL
612,113 年 1月 29 日
613,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
614,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
615,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
616,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
617,113 年 1月 29 日
618,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
619,全球人壽金采福旺利率變動型終身壽險(定額給付)
620,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
621,凱基人壽鑫安利得利率變動型終身壽險(定期給付)_APWHPL
622,全球人壽豪威六六利率變動型終身壽險(定額給付)
623,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
624,凱基人壽招財進保利率變動型終身壽險(定期給付)_APLYPL
625,南山人壽佳多保利率變動型終身保險(定期給付)_BTPL
626,凱基人壽大基大利美元利率變動型終身壽險(定期給付)_APMLPL
627,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
628,全球人壽豪威六六利率變動型終身壽險(定額給付)
629,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
630,安達人壽美美優美元利率變動型終身壽險
631,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
632,凱基人壽天天有利利率變動型終身壽險(定期給付)_APKQTL
633,113 年 1月 29 日
634,凱基人壽好基利美元利率變動型終身壽險(定期給付)_APMEPL
635,凱基人壽澳氣十足澳幣利率變動型養老保險(定期給付)_APMKPL
636,凱基人壽大基大利美元利率變動型終身壽險(定期給付)_APMLPL
637,全球人壽豪威六六利率變動型終身壽險(定額給付)
638,凱基人壽基業長鴻美元利率變動型終身壽險(定期給付)_APMOPL
639,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
640,安達人壽超美得美元利率變動型終身壽險
641,全球人壽代代緻富利率變動型終身壽險(定額給付)
642,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
643,全球人壽代代緻富利率變動型終身壽險(定額給付)
